Country,Gender,Age,EmploymentStatus,EmployerIndustry,FormalEducation,Major,CompensationAmount,CompensationCurrency,CurrentJobTitle,TitleFit,LanguageRecommendation,DataScienceIdentity,WorkDataVisualizations,JobSatisfaction,JobSatisfaction2
Brazil,Male,24,Employed part-time,Mix of fields,Bachelor's degree,Engineering (non-computer focused),24000,BRL,Engineer,Fine,Python,Sort of (Explain more),100% of projects,7,7
United States,Male,40,Employed full-time,Technology,Doctoral degree,Computer Science,150000,USD,DBA/Database Engineer,Fine,Python,No,10-25% of projects,6,6
Argentina,Male,25,Employed full-time,Technology,Bachelor's degree,Computer Science,24000,ARS,Computer Scientist,Fine,Python,Yes,100% of projects,10 - Highly Satisfied,10
United States,Male,25,Employed full-time,Technology,Master's degree,Biology,85000,USD,Other,Perfectly,Python,Yes,51-75% of projects,9,9
United States,Male,56,Employed full-time,Manufacturing,Bachelor's degree,Engineering (non-computer focused),107000,USD,Business Analyst,Poorly,Python,No,26-50% of projects,1 - Highly Dissatisfied,1
Hong Kong,Male,36,Employed full-time,Financial,Doctoral degree,Computer Science,6.00E+05,HKD,Predictive Modeler,Fine,Python,No,76-99% of projects,5,5
United States,Male,24,Employed full-time,Military/Security,Bachelor's degree,Electrical Engineering,67500,USD,Engineer,Fine,Matlab,Yes,26-50% of projects,7,7
Canada,Male,24,Employed full-time,Mix of fields,Bachelor's degree,A social science,75000,CAD,Business Analyst,Fine,Python,Sort of (Explain more),100% of projects,6,6
India,Male,47,"Independent contractor, freelancer, or self-employed",Academic,Doctoral degree,Mathematics or statistics,1200000,INR,Statistician,Fine,R,Yes,10-25% of projects,5,5
United Kingdom,Male,24,Employed full-time,Technology,Master's degree,Electrical Engineering,42000,GBP,Data Analyst,Fine,Python,Sort of (Explain more),51-75% of projects,6,6
United States,Male,23,Employed full-time,Financial,Bachelor's degree,Other,58000,USD,Data Analyst,Fine,Python,Yes,76-99% of projects,4,4
United States,Male,23,Employed full-time,Mix of fields,Bachelor's degree,Computer Science,1.00E+05,USD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,7,7
Other,Male,25,Employed full-time,Internet-based,Bachelor's degree,Engineering (non-computer focused),25000,USD,Business Analyst,Fine,Python,Yes,10-25% of projects,8,8
United States,Male,35,Employed full-time,Technology,Master's degree,Computer Science,60000,USD,Other,Fine,Python,No,100% of projects,8,8
People 's Republic of China,Male,28,Employed full-time,Pharmaceutical,Master's degree,A health science,180000,CNY,Data Analyst,Fine,R,Yes,100% of projects,3,3
United States,Female,27,Employed full-time,Technology,Doctoral degree,A social science,75000,AMD,Data Analyst,Fine,R,Sort of (Explain more),Less than 10% of projects,10 - Highly Satisfied,10
United States,Male,40,Employed full-time,Financial,Master's degree,Physics,125000,USD,Software Developer/Software Engineer,Fine,Scala,No,26-50% of projects,3,3
Portugal,Male,27,Employed full-time,Manufacturing,Master's degree,Computer Science,17000,EUR,Programmer,Perfectly,R,Yes,76-99% of projects,4,4
United States,Male,36,Employed full-time,Internet-based,Master's degree,A humanities discipline,70000,USD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,4,4
People 's Republic of China,Male,28,Employed full-time,Technology,Bachelor's degree,Computer Science,3.00E+05,CNY,DBA/Database Engineer,Fine,Python,Yes,51-75% of projects,4,4
Brazil,Male,26,Employed full-time,Technology,Bachelor's degree,Computer Science,24000,BRL,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),100% of projects,4,4
Russia,Male,30,Employed full-time,Technology,Doctoral degree,Mathematics or statistics,65000,USD,Machine Learning Engineer,Perfectly,Python,Yes,26-50% of projects,10 - Highly Satisfied,10
United States,Male,26,Employed full-time,Other,Bachelor's degree,A humanities discipline,35000,USD,Business Analyst,Fine,Python,Sort of (Explain more),76-99% of projects,6,6
United States,Male,28,Employed full-time,Pharmaceutical,Doctoral degree,Physics,121000,USD,Scientist/Researcher,Perfectly,Python,Yes,26-50% of projects,8,8
South Korea,Male,53,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,80000,USD,Researcher,Fine,Python,Yes,Less than 10% of projects,8,8
Australia,Male,36,Employed full-time,Other,Bachelor's degree,"Information technology, networking, or system administration",150000,AUD,Business Analyst,Fine,Python,No,26-50% of projects,8,8
Canada,Male,60,Employed full-time,Academic,Doctoral degree,Computer Science,2.00E+05,CAD,Researcher,Fine,R,Yes,None,10 - Highly Satisfied,10
Australia,Female,23,Employed full-time,Financial,Bachelor's degree,Other,78000,AUD,Data Analyst,Poorly,SQL,No,Less than 10% of projects,2,2
Colombia,Male,29,Employed full-time,Financial,Master's degree,Mathematics or statistics,8.00E+07,COP,Data Analyst,Fine,R,No,76-99% of projects,8,8
Japan,Male,37,Employed full-time,Manufacturing,Master's degree,Engineering (non-computer focused),8.00E+06,JPY,Software Developer/Software Engineer,Fine,Python,No,100% of projects,7,7
United States,Male,41,Employed full-time,Mix of fields,Master's degree,Electrical Engineering,80000,USD,Software Developer/Software Engineer,Poorly,Python,Sort of (Explain more),10-25% of projects,7,7
Taiwan,Male,30,Employed full-time,Government,Bachelor's degree,Management information systems,8.00E+05,TWD,Other,Fine,Python,No,Less than 10% of projects,4,4
United States,Female,42,Employed full-time,Telecommunications,Bachelor's degree,A humanities discipline,75000,USD,Data Analyst,Fine,Python,Sort of (Explain more),None,1 - Highly Dissatisfied,1
Other,Male,27,Employed full-time,Internet-based,Bachelor's degree,Computer Science,50000,USD,Machine Learning Engineer,Fine,Python,Yes,76-99% of projects,8,8
United States,Male,47,Employed full-time,Internet-based,Bachelor's degree,Other,165000,USD,Software Developer/Software Engineer,Fine,Scala,Sort of (Explain more),Less than 10% of projects,3,3
United States,Male,28,Employed full-time,Government,Master's degree,Fine arts or performing arts,85000,USD,Business Analyst,Fine,Python,Sort of (Explain more),100% of projects,7,7
Ireland,Male,42,Employed full-time,Retail,Master's degree,Engineering (non-computer focused),1.00E+05,EUR,DBA/Database Engineer,Perfectly,SQL,No,100% of projects,7,7
United States,Male,41,Employed full-time,Internet-based,Master's degree,Psychology,2.00E+05,USD,Other,Fine,Python,Yes,Less than 10% of projects,9,9
United States,Female,43,Employed full-time,Insurance,Bachelor's degree,A social science,80000,USD,Data Analyst,Fine,SQL,No,Less than 10% of projects,8,8
New Zealand,Male,28,"Independent contractor, freelancer, or self-employed",Technology,Bachelor's degree,A health science,80000,NZD,Machine Learning Engineer,Fine,Python,No,26-50% of projects,7,7
Canada,Male,23,Employed full-time,Insurance,Bachelor's degree,Mathematics or statistics,70000,CAD,Other,Fine,Python,Sort of (Explain more),100% of projects,10 - Highly Satisfied,10
United States,Male,25,Employed full-time,Technology,Master's degree,Computer Science,95000,USD,Computer Scientist,Fine,Python,No,51-75% of projects,9,9
United States,Male,32,Employed part-time,Academic,Doctoral degree,Physics,47000,USD,Scientist/Researcher,Perfectly,Python,No,51-75% of projects,8,8
United States,Male,37,Employed full-time,Financial,Doctoral degree,Mathematics or statistics,255000,USD,Other,Fine,Python,Yes,100% of projects,1 - Highly Dissatisfied,1
United States,Male,29,Employed full-time,Government,Master's degree,Mathematics or statistics,90000,USD,Operations Research Practitioner,Fine,Python,Yes,76-99% of projects,5,5
United States,Male,32,Employed full-time,Government,Master's degree,"Information technology, networking, or system administration",80000,USD,Operations Research Practitioner,Perfectly,Python,Sort of (Explain more),51-75% of projects,9,9
Malaysia,Male,27,Employed full-time,Government,Bachelor's degree,Other,3200,MYR,Other,Fine,SQL,Sort of (Explain more),51-75% of projects,7,7
Colombia,Male,30,"Independent contractor, freelancer, or self-employed",Technology,Master's degree,Computer Science,3.60E+07,COP,Machine Learning Engineer,Fine,Python,Yes,26-50% of projects,7,7
Hong Kong,Male,28,Employed full-time,Technology,Bachelor's degree,Mathematics or statistics,208000,HKD,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,3,3
People 's Republic of China,Male,31,Employed full-time,Technology,Bachelor's degree,Computer Science,250000,CNY,Machine Learning Engineer,Fine,Python,No,76-99% of projects,7,7
United States,Male,31,Employed full-time,Technology,Master's degree,A humanities discipline,190000,USD,Business Analyst,Poorly,R,Sort of (Explain more),51-75% of projects,9,9
Malaysia,Male,34,Employed full-time,Technology,Bachelor's degree,Electrical Engineering,77000,USD,Other,Fine,Python,Sort of (Explain more),None,2,2
United States,Male,25,Employed full-time,Academic,Master's degree,Computer Science,20000,USD,Scientist/Researcher,Fine,Matlab,No,10-25% of projects,8,8
United States,Male,50,Employed full-time,Technology,Bachelor's degree,Mathematics or statistics,220000,USD,Software Developer/Software Engineer,Fine,C/C++/C#,Sort of (Explain more),76-99% of projects,9,9
Vietnam,Male,22,Employed full-time,Technology,Bachelor's degree,Computer Science,1.00E+07,VND,Data Analyst,Poorly,Python,Yes,76-99% of projects,5,5
United States,Male,31,Employed full-time,Government,Master's degree,Mathematics or statistics,105000,USD,Statistician,Fine,R,No,76-99% of projects,5,5
United States,Male,34,Employed full-time,Government,Master's degree,Engineering (non-computer focused),79000,USD,Operations Research Practitioner,Fine,R,Yes,26-50% of projects,8,8
Other,Male,53,Employed full-time,Manufacturing,Master's degree,Engineering (non-computer focused),175000,USD,Business Analyst,Fine,Python,Yes,76-99% of projects,6,6
United States,A different identity,45,Employed part-time,Academic,Master's degree,Other,20000,USD,Scientist/Researcher,Fine,R,Yes,76-99% of projects,7,7
India,Male,25,Employed full-time,Technology,Bachelor's degree,Engineering (non-computer focused),475000,INR,Machine Learning Engineer,Fine,R,Sort of (Explain more),26-50% of projects,3,3
Brazil,Male,31,Employed full-time,Retail,Master's degree,Computer Science,1.00E+05,BRL,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),76-99% of projects,8,8
Russia,Male,28,Employed full-time,Manufacturing,Doctoral degree,Other,484000,RUB,Computer Scientist,Fine,C/C++/C#,Sort of (Explain more),26-50% of projects,6,6
Taiwan,Female,28,"Independent contractor, freelancer, or self-employed",Financial,Master's degree,A social science,1100000,TWD,Researcher,Perfectly,Python,Sort of (Explain more),10-25% of projects,8,8
Japan,Male,42,Employed full-time,Technology,Bachelor's degree,Other,6500000,JPY,Other,Fine,Python,Sort of (Explain more),10-25% of projects,8,8
Brazil,Male,31,Employed full-time,Academic,Master's degree,Computer Science,80000,BRL,Scientist/Researcher,Fine,Python,Sort of (Explain more),Less than 10% of projects,6,6
Taiwan,Male,26,Employed full-time,Government,Master's degree,Computer Science,648000,TWD,Programmer,Poorly,Python,Yes,None,4,4
India,Male,24,Employed full-time,Retail,Some college/university study without earning a bachelor's degree,Computer Science,2200000,INR,Software Developer/Software Engineer,Perfectly,R,Sort of (Explain more),51-75% of projects,5,5
United States,Male,30,Employed full-time,Academic,Master's degree,Computer Science,38000,USD,Computer Scientist,Fine,Python,Sort of (Explain more),Less than 10% of projects,6,6
Japan,Male,33,Employed full-time,Technology,Master's degree,Physics,7.00E+06,JPY,Data Analyst,Fine,Other,Yes,10-25% of projects,3,3
United States,Female,38,Employed full-time,Government,Master's degree,Computer Science,65000,USD,DBA/Database Engineer,Fine,SAS,Yes,51-75% of projects,5,5
Philippines,Male,23,Employed full-time,Other,Bachelor's degree,Computer Science,55000,PHP,Data Analyst,Perfectly,Python,Sort of (Explain more),26-50% of projects,4,4
United States,Male,30,Employed full-time,Government,Master's degree,A social science,65000,USD,Other,Poorly,SQL,Yes,10-25% of projects,8,8
Indonesia,Male,27,Employed full-time,Internet-based,Bachelor's degree,"Information technology, networking, or system administration",0,IDR,Other,Fine,Python,Sort of (Explain more),51-75% of projects,7,7
People 's Republic of China,Male,29,Employed full-time,Technology,Master's degree,Electrical Engineering,3.00E+05,CNY,Machine Learning Engineer,Fine,Python,Yes,76-99% of projects,5,5
Australia,Female,38,Employed full-time,Academic,Master's degree,"Information technology, networking, or system administration",27000,AUD,Researcher,Fine,Python,Yes,100% of projects,8,8
Russia,Male,44,Employed full-time,Telecommunications,Master's degree,Mathematics or statistics,7.00E+05,RUB,Data Analyst,Poorly,Python,Yes,Less than 10% of projects,6,6
United States,Male,23,Employed full-time,Other,Bachelor's degree,Mathematics or statistics,71500,USD,Other,Fine,Python,No,76-99% of projects,3,3
United States,Male,37,Employed full-time,CRM/Marketing,Bachelor's degree,Computer Science,180000,USD,Software Developer/Software Engineer,Perfectly,Python,Yes,None,9,9
United States,Male,39,Employed full-time,Financial,Bachelor's degree,Computer Science,115000,USD,Other,Fine,R,Sort of (Explain more),10-25% of projects,3,3
United States,Male,25,Employed full-time,Academic,Master's degree,Mathematics or statistics,20000,USD,Machine Learning Engineer,Fine,R,Yes,100% of projects,7,7
United States,Male,33,Employed full-time,Pharmaceutical,Bachelor's degree,Computer Science,107000,USD,Data Analyst,Fine,Python,Sort of (Explain more),100% of projects,9,9
United States,Male,49,Employed full-time,Other,Doctoral degree,A health science,125000,USD,Scientist/Researcher,Fine,R,Sort of (Explain more),26-50% of projects,8,8
Australia,Male,35,Employed full-time,Internet-based,Bachelor's degree,Computer Science,116000,AUD,Software Developer/Software Engineer,Perfectly,Python,No,Less than 10% of projects,7,7
Australia,Female,48,"Independent contractor, freelancer, or self-employed",Government,Master's degree,A humanities discipline,250000,AUD,Data Analyst,Poorly,R,No,26-50% of projects,5,5
United States,Male,31,Employed full-time,Hospitality/Entertainment/Sports,Master's degree,Electrical Engineering,67000,USD,DBA/Database Engineer,Fine,Python,Sort of (Explain more),76-99% of projects,4,4
Switzerland,Male,27,"Independent contractor, freelancer, or self-employed",Mix of fields,Bachelor's degree,Psychology,85000,USD,Data Analyst,Fine,R,Sort of (Explain more),76-99% of projects,9,9
India,Male,35,Employed full-time,Technology,Bachelor's degree,Computer Science,1500000,INR,Researcher,Fine,Python,Yes,10-25% of projects,6,6
India,Female,30,Employed full-time,Technology,Bachelor's degree,Management information systems,3.00E+06,INR,Other,Poorly,R,No,100% of projects,3,3
People 's Republic of China,Male,29,Employed full-time,Hospitality/Entertainment/Sports,Master's degree,Engineering (non-computer focused),180000,CNY,Business Analyst,Fine,Python,Yes,76-99% of projects,5,5
India,Male,34,Employed full-time,Government,Master's degree,Computer Science,1.00E+05,INR,Computer Scientist,Fine,R,Yes,Less than 10% of projects,10 - Highly Satisfied,10
Argentina,Male,50,Employed full-time,Other,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",45000,USD,Business Analyst,Fine,R,Sort of (Explain more),51-75% of projects,10 - Highly Satisfied,10
Philippines,Female,19,Employed part-time,Technology,Bachelor's degree,"Information technology, networking, or system administration",11000,PHP,Data Analyst,Fine,R,Sort of (Explain more),26-50% of projects,6,6
Taiwan,Male,38,Employed full-time,Academic,Doctoral degree,Management information systems,27000,USD,Scientist/Researcher,Fine,Python,Yes,100% of projects,8,8
India,Male,22,Employed full-time,Technology,Bachelor's degree,Computer Science,420000,INR,Software Developer/Software Engineer,Fine,Python,No,51-75% of projects,5,5
Indonesia,Male,48,Employed full-time,Technology,Master's degree,"Information technology, networking, or system administration",2.50E+08,IDR,DBA/Database Engineer,Perfectly,Python,Yes,10-25% of projects,8,8
United States,Female,32,Employed full-time,Technology,Doctoral degree,Computer Science,305000,USD,Machine Learning Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,7,7
India,Male,25,Employed full-time,Technology,Master's degree,Computer Science,470000,INR,Other,Fine,R,Sort of (Explain more),Less than 10% of projects,8,8
Canada,Male,28,Employed full-time,Hospitality/Entertainment/Sports,Bachelor's degree,A social science,70000,CAD,Data Analyst,Perfectly,Python,Sort of (Explain more),51-75% of projects,10 - Highly Satisfied,10
United States,Male,50,Employed full-time,Technology,Bachelor's degree,Electrical Engineering,1.00E+06,USD,Researcher,Poorly,Python,No,100% of projects,5,5
United States,Male,24,"Independent contractor, freelancer, or self-employed",Financial,Bachelor's degree,Mathematics or statistics,95000,USD,Business Analyst,Poorly,Python,Yes,76-99% of projects,3,3
United States,Male,44,Employed full-time,Government,Doctoral degree,Other,120000,USD,Scientist/Researcher,Perfectly,SAS,No,100% of projects,3,3
United States,Male,35,Employed full-time,Hospitality/Entertainment/Sports,Doctoral degree,Electrical Engineering,150000,USD,Machine Learning Engineer,Fine,Python,Yes,26-50% of projects,6,6
Australia,Female,25,Employed part-time,Mix of fields,Master's degree,Mathematics or statistics,65000,AUD,Data Miner,Fine,Python,Sort of (Explain more),51-75% of projects,7,7
Singapore,Male,23,Employed part-time,Mix of fields,Bachelor's degree,Mathematics or statistics,6000,SGD,Other,Poorly,R,Sort of (Explain more),Less than 10% of projects,6,6
People 's Republic of China,Male,35,Employed full-time,Internet-based,I prefer not to answer,Computer Science,240000,CNY,Business Analyst,Fine,Python,No,10-25% of projects,5,5
United States,Male,40,Employed full-time,Telecommunications,Master's degree,Mathematics or statistics,1.00E+05,USD,Software Developer/Software Engineer,Fine,Python,No,None,5,5
Indonesia,Male,26,Employed full-time,Academic,Master's degree,Computer Science,1.20E+08,IDR,Scientist/Researcher,Fine,Python,Yes,51-75% of projects,7,7
